source, target
“Quy tắc: + Z = X | Thay thế: X bằng “” ngựa “”, Z bằng “” việt quất “"”, + việt quất = ngựa
“Quy tắc: - * - Y X Y | Thay thế: X bằng “” đại bàng “”, Y bằng “” dưa hấu cò “"”, - * - cò dưa hấu đại bàng cò dưa hấu
“Quy tắc: X * Y Z * | Thay thế: X bằng “” chim cánh cụt hải cẩu “”, Y bằng “” việt quất “”, Z bằng “” cá voi blackberry “"”, chim cánh cụt hải cầu* cá voi việt quất đen *
“Quy tắc: * * + Z X | Thay thế: X bằng “” cá voi blackberry “”, Z bằng “” cá voi “"”, * * + cá voi đen
“Quy tắc: * Y * Y Z + | Thay thế: Y bằng “” lê “”, Z bằng “” táo “"”, * lê * lê táo +
“Quy tắc: = Z - X | Thay thế: X bằng “” con dấu “”, Z bằng “” con dấu kiwi “"”, = niêm phong kiwi - con dấu
“Quy tắc: X * = Y Y | Thay thế: X bằng “” cá voi hải cẩu “”, Y bằng “” hải cẩu ngựa “"”, cá voi hải cẩu * = hải cẩu ngựa hải cẩu
“Quy tắc: X = * X X | Thay thế: X bằng “” việt quất “"”, việt quất = * việt quất
“Quy tắc: Z - Y = * X | Thay thế: X bằng “” dưa hấu đại bàng “”, Y bằng “” nho rắn hổ mang “”, Z bằng “” ngựa vằn “"”, ngựa vằn vằn - rắn hổ mang nho = * đại bàng dưa hấu
“Quy tắc: X Y + * = | Thay thế: X bằng “” cá mập “”, Y bằng “” đào “"”, cá mập đào + * =
“Quy tắc: = * Y Y * | Thay thế: Y bằng “" trâu "”, = * trâu trâu *
“Quy tắc: - Z = Y Z | Thay thế: Y bằng “” nho ngựa vằn “”, Z bằng “” cá mập táo “”, - cá mập táo = cá mập táo ngựa vằn
“Quy tắc: - = * X Z | Thay thế: X bằng “” dưa hấu “”, Z bằng “” dưa hấu chuối “"”, - = * dưa hấu chuối dưa hấu
“Quy tắc: - X * Y Y = | Thay thế: X bằng “” dưa hấu ngựa vằn “”, Y bằng “” kiwi cá mập “"”, - dưa hấu ngựa vằn * cá mập kiwi cá mập kiwi =
